,경찰서이름,주소
0, 수원중부경찰서,경기도 수원시 장안구 정자천로 199
1, 수원남부경찰서,경기 수원시 영통구 매봉로 52
2, 수원서부경찰서,경기 수원시 권선구 서부로 1673
3, 안양동안경찰서,경기도 안양시 동안구 동안로159번길 43
4, 안양만안경찰서,경기도 안양시 만안구 냉천로 63
5, 과천경찰서,경기 과천시 통영로 20
6, 성남수정경찰서,경기 성남시 수정구 성남대로 1259
7, 성남중원경찰서,경기 성남시 중원구 금빛로2번길 10
8, 분당경찰서,경기 성남시 분당구 정자일로 165
9, 부천소사경찰서,경기 부천시  부광로 214
10, 부천원미경찰서,경기 부천시 조마루로311번길 84
11, 부천오정경찰서,경기 부천시 소사로 631
12, 광명경찰서,경기 광명시 디지털로 5
13, 안산단원경찰서,경기도 안산시 단원구 화랑로 373
14, 안산상록경찰서,경기 안산시 상록구 차돌배기로 10
15, 시흥경찰서,경기 시흥시 황고개로 513
16, 평택경찰서,경기도 평택시 중앙로 67
17, 오산경찰서,경기 오산시 동부대로 596
18, 화성동탄경찰서,경기도 화성시 동탄대로 13길 70
19, 화성서부경찰서,경기 화성시 남양읍 남양로 570
20, 용인동부경찰서,경기 용인시 처인구 금학로 143
22, 광주경찰서,경기 광주시 포돌이로 135
23, 이천경찰서,경기 이천시 부악로 32
24, 안성경찰서,경기 안성시 알미산로 140
25, 여주경찰서,경기 여주시 세종로 50
26, 양평경찰서,경기도 양평군 옥천면 고읍로 88
27, 의왕경찰서,경기 의왕시 오봉로 10
28, 하남경찰서,경기 하남시 검단로 27
